type	itemType	title	source	link	embed	imgLink	tag	description
report	item-1-1	State of Generative AI in the Enterprise 2024	Deloitte	https://www2.deloitte.com/content/dam/Deloitte/us/Documents/consulting/us-state-of-gen-ai-report.pdf	no	no	Econmic Impact	Explore findings from the Deloitte AI Institute's report tracking generative AI trends, business impacts, and challenges throughout 2024.
report	item-1-2	Change Management for Artificial Intelligence Adoption	Booz Allen Hamilton	https://www.boozallen.com/insights/ai/change-management-for-artificial-intelligence-adoption.html	no	https://www.boozallen.com/content/dam/boozallen_site/sig/images/hero/finger-on-a-phone-with-iot-icons-overlaid.jpg/jcr:content/renditions/original.jpeg.transform/1900x430/q82/feature/image.jpeg	Change Management	A detailed change management approach to  help organizations navigate the increased adoption of AI capabilities.
article	item-2-1	People are worried that AI will take everyone’s jobs. We’ve been here before.	MIT Technology Review	https://www.technologyreview.com/2024/01/27/1087041/technological-unemployment-elon-musk-jobs-ai/	no	https://wp.technologyreview.com/wp-content/uploads/2024/01/unemployment4f.jpg?fit=1080,607	Econmic Impact	In a 1938 article, MIT’s president argued that technical progress didn’t mean fewer jobs. He’s still right.
article	item-2-1	Culture Reimagined: How Pharmaceutical Firms Can Use Data and AI with Confidence	Aspentech	https://files.taskade.com/attachments/80f90fc5-f08c-47e0-8be3-a8efb2d6d342/original/Culture%20Reimagined%20Report_by%20aspen%20tech.pdf	no	no	Use Case	This report explains what leading companies are doing differently, finds out what is stopping other firms from emulating them and offers advice on how to break down those barriers.
article	item-2-2	Synthetic Imagery Sets new Bar in AI training efficiency	MIT News	https://news.mit.edu/2023/synthetic-imagery-sets-new-bar-ai-training-efficiency-1120	no	https://news.mit.edu/sites/default/files/styles/news_article__image_gallery/public/images/202311/StableRep2-transformed.png?itok=FkiVGv50	Use Case	MIT CSAIL researchers innovate with synthetic imagery to train AI, paving the way for more efficient and bias-reduced machine learning.
article	item-2-3	Wall Street Embraces AI despite risks of Catastrophe 	VICE	https://www.vice.com/en/article/88xk8k/wall-street-embraces-ai-despite-risks-of-catastrophe	no	https://video-images.vice.com/articles/653850a3723ac073073ba0d4/lede/1698189481072-gettyimages-1220380097-1.jpeg?crop=1xw:1xh;center,center&resize=600:*	Use Case, News	The use of AI is being adopted in many financial institutions amid concerns, from every aspect including legal, fraud, cybersecurity, trading, loans, claims, and even email management
article	item-2-4	How AI Will Impact the Next Generation Workforce	Forbes	https://www.forbes.com/sites/kalinabryant/2023/05/31/how-ai-will-impact-the-next-generation-workforce/?sh=160b9a486fae	no	https://imageio.forbes.com/specials-images/imageserve/64778dca16b842165c0e1090/Digital-transformation-concept--System-engineering--Binary-code--Programming-/960x0.jpg?format=jpg&width=1440	Use Case, Business Potential	AI is transforming the workforce by promoting inclusivity and accessibility with technology, bridging the skills gap through equity, and removing biases during the hiring process.
article	item-2-5	How AI Can Help Humans Become More Human	TIME	https://time.com/6565048/ai-help-humans-become-more-human/	no	https://api.time.com/wp-content/uploads/2024/01/GettyImages-1910724443.jpg?quality=85&w=1920	Use Case	This article addresses how AI can assist people in developing habits and improving their mental and physical health through digital coaching. By studying individuals' preferences, AI can cater work plans to people.
video	item-3-1	AI: What is the Future of Artificial Intelligence	BBC News	https://www.youtube.com/watch?v=LK5j3pp0Too	<iframe width="560" height="315" src="https://www.youtube.com/embed/LK5j3pp0Too?si=SaKfMTAYz-ia9iFK" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" allowfullscreen></iframe>	no	Use Case	This interview covers how AI can be used to advance aspects of engineering, healthcare, and society as a whole. Embracing and harnessing AI is key to shaping the future, though challenges when it comes to integration are unavoidable.
video	item-3-2	The AI revolution: Google's developers on the future of artificial intelligence | 60 Minutes	60 Minutes with Google	https://www.youtube.com/watch?v=880TBXMuzmk	<iframe width="560" height="315" src="https://www.youtube.com/embed/880TBXMuzmk?si=q2OPkjtTW8-xOsip" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" allowfullscreen></iframe>	https://yt3.ggpht.com/6is8wo4LohoLQWpC_HeuxcLjIimGuzJqYIqP4KRdeI6jQx6hgfbKOyIEaIV4mGwrpwI1dC5Y=s48-c-k-c0x00ffffff-no-rj	News	Competitive pressure among tech giants is propelling society into the future of artificial intelligence, ready or not. Scott Pelley dives into the world of AI with Google CEO Sundar Pichai.
video	item-3-3	Andrew Ng: Opportunities in AI - 2023	Andrew Ng- Stanford University	https://www.youtube.com/watch?v=5p248yoa3oE	<iframe width="560" height="315" src="https://www.youtube.com/embed/5p248yoa3oE?si=6sFeXbZ7qa5y52Jr" title="YouTube video player" frameborder="0" allow="accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture; web-share" allowfullscreen></iframe>	https://yt3.ggpht.com/j8Gqr1z_an8WEyAIXRdkPKdaYbnxCSLwPEZb9tF-YHk6sNyvWDCWAzNxM_NAbbOmpF8_99ytWQ=s48-c-k-c0x00ffffff-no-rj	Opportunities in AI	This talk covers: Trends in AI Technologies and Tools, Supervised Learning, Generative AI, The Adoption of AI Opportunities in AI Process for Building Startups and AI Risks and Social Impact
